review_text,sentiment
"the picture is very misleading,  you can see color in many of the bottles, but in reality, the gold is the only color that shows definitively even against white paper and good sunlight.  the claim is that the little bottles have numbers on the bottom to match the colors.  they dont.  some of the envelopes have numbers on them but not all, and some arent readable.  another buyer mentioned that most of the bottles were half full.  this is true and yes, there was glitter everywhere when you opened the package it came in.  i bought gel nail polish and a uv/led light to cure the polish.  i watched youtube videos to see how it worked.  i tried it several times, and at most got a more holographic effect.  definitely not a chrome effect, certainly not the effect pictured.<br />i requested a return, and my payment was refunded quickly.  i honestly cannot say enough about the customer service.  they are excellent and very accommodating.  i visited their website and they do have some nice things to purchase and i think i will purchase some different things.",0
Works good for the beards . Didn’t work that great on my hair .,1
"This material is normally used by dentists to seal root canal teeth between visits or to test teeth with heat for diagnostic purposes.  It must be heated to soften and is not meant to be used to fill teeth.  There are no directions with the material.  It is excellent for its intended use by professionals so if a dental supply company cannot find it for a dentist then this is a good choice.  Otherwise, non professionals should not use this material.",1
"Mine arrived damaged. It was broken on one corner, kind of off track, and it had rust on the lock. It was supposed to be a Christmas gift and tomorrows Christmas eve.... o well",0
Cheap,0
"This stuff is much too chemically, burns my eyes and is really harsh.",0
They don’t stick to your finger at all. They are super thick not like the ones you buy from color street.,0
"I will NEVER pay to have my eyebrows tinted again!!!! It was soooo easy and fast! I ordered the dark brown, and within 2 minutes my eyebrows were dark and perfect!!!!! I can’t believe I had been spending so much money to have them done when $10 gives me 20 applications! Wooo hoo!!!",1
I'm sorry to say this didn't help my arthritis pain at all.  Maybe this is just one of those products that is effective for some people and not for others.  After trying it for a week I ended up tossing it and going back to my &#34;mega bux&#34; old faithful..  :(,0
"This base coat is really great. My 7 year old daughter's nail polish never stays on more than 1 - 2 days. I think young kids have oilier nail beds than adults so the base coat I used to use worked fine for me, but not for her. This one really helps the nail polish stay on both of us!",1
The worst Product ever bought in my life PLEASE DON'T BUY,0
"I have an average sized head. Bought the regular size and it was huge. Bought the smaller, it is huge.",0
Love Love!! Gives a beautiful glow to your skin all year long!,1
"Smell like clipper oil machine after the alcohol smells fade, I’m not why some people would be in to that, but kind remind me the history of a king that was naked and only the intelligent people could se the clothes, until someone told him the truth. This doesn’t imitate your pheromone, unless yours smell like machine lubricant.",0
"I started using this as soon as I received the product.  I thought even after the first week, there was some difference for the better buy after three weeks of use I can't really say I've noticed any growth or darkening in color. I might or might not continue using it.",0
"These are the worst tape ins I have ever purchased. I've been installing my own tape ins for 4 years now and I almost always order them off Amazon I typically stick with the same few companies but saw that these were 40 pieces (100 grams)  instead of 20 pieces in a pack for about the same price of 20 pieces (50 grams). There is no way there is a 100 grams of a hair here, they are extremely thin and I could see all of the breakage before I even removed them from the pack, they are also at least two inches shorter than they are supposed to be. Very disappointed. and I am still waiting on another package of them I would be cancelling the order but I needed them for this weekend and won't have enough time to order from somewhere else.",0
Terrible. I’m new to this but this was not easy at all.,0
"Great suction, not very intuitive but it works great!",1
Was so excited to try this product but it ain’t it. It’s kinda greasy feeling and heavy. No hold either.,0
These are ok.  If you have longer hair these would be great.<br /><br />These don't work great for me but I am not finding anything that does....so itnis more of a me problem than the product problem.,0
"This stuff has about a hundred uses in our house.<br />Primarily used as beard oil.<br />The pump action on the bottle is great, the quality of the oil is great.<br />The pump lock works well too. It's gone on a couple family road trips without leaking in the toiletry bag.<br />Fantastic buy.",1
.....and who hasn't always wondered what Lucille Ball smelled like?,1
I was hoping to replace the anti aging primer that Cover FX quit making and this definitely not as good  It didn’t go on smoothly and didn’t make my face feel soft like the old one.  Please bring back anti-aging primer Cover FX.  None of your 4 current primers do the trick,0
I use this to make medical cannabis tinctures and it works perfectly.,1
Love these eyelashes very soft not shiny they shipped pretty fast I got them in the mail in less then 2 days definitely a bang for your buck  would definitely buy again In the future,1
We love these clips. We appreciate getting a large quantity in the package because little girls do lose them. My only suggestion is to make these with longer gripper clips so they stay in the hair better.,1
"Doesn’t work. They offered to give me two free products for a review within 2 weeks, I declined because the review would be a lie,  but after 8 weeks it still doesn’t work at all. Don’t waste your money",0
Perfect.. I only wish it was a little easier to remove the hair from the brush,1
It did not last my pitts were stinky,0
"Don’t buy, not worth it",0
I’m not one to usually write reviews but was unfortunately really disappointed with this product. I’ve been struggling to find a “clean” scrub and thought I hit the jackpot with this but when I went to use it it didn’t smell super great. I was willing to overlook that but after I used it and rinsed it it left this gross slimy residue that would not come off. It literally felt like I had slime all over my legs despite repeatedly rinsing.,0
"love this loofah. good size, fits well in hand",1
Zen lash did absolutely nothing for my eyelashes.,0
great for girls hair,1
"No compres esto, literal tarda mucho en secarse, aparte a mi me llego dos que estaban secas, pésima calidad.",0
Love it!,1
Nice colors but they are not silky or soft at all.,0
"It’s synthetic so it’s a bit tangled the more you play with it. It has three clips on the top of the wig and one in the back with the Velcro head band. It came with a free head band, eye lashes, and a scalp cap to put your hair in. I love it. Yea it is not one that you can wear often but it does the job and for what I paid for it you can’t beat it. I’m not big on weaves so this work fast instal and fast to take off.  I love it for a girls not out come home and take it off",1
As described. Very happy with this purchase,1
"I was glad I read the reviews from other buyers so I knew the item was clear with blue dots not white with blue dots.  I didn't care but it was nice to get an accurate description from someone, even if it was another buyer.  The product is good but not great.  The positives are that it is snug and stays in place.  The negative is that the ribbon that frames the cap soaks up water so my hair line gets wet.  The point is to keep my hair dry and this product does not really do that.  I have to put a larger cap on top of this one.  The material that makes up the cap is good, but the ribbon is terrible.",0
Best buy and I'm a guy!!!,1
Am extremely upset and disappointed. Both eyeliners are dry,0
The last bottle of Daily Exfoilating Micro Derm Scrub I used had white texture to it and this one has a grey color texture.  I am wondering if this bottle I received is old.  Why is the color of the serum/texture different?,0
"Does the job pretty well, and it leaves a quite refreshing scent unlike the normal ones that make you want to spew after using for a long time.",1
"Purchased this a while back but never used it until the other day. I use this as a braid spray. I recently got my hair braided and some areas feel a little tight, so I spray a thin coat on my hair and scalp to keep it conditioned. Love it! When I first spray it on there's a nice cool feeling that helps alleviate the itching and tightness I was experiencing. it's is a good product. I'm about to order another bottle to keep on hand.<br />The only con is I wish the bottle was bigger...maybe come in a 8 oz.",1
"So I am barely starting out in doing my own acrylics and I think this product is great for beginners! However I think the monomer bottle is a bit small! I feel like the powder is going to last me a good while but I already am almost out of the monomer, which sucks but a great product nonetheless :(",1
Love them 😍,1
Provides a wonderful continuous fine mist!<br />Great value!,1
I love these products.  I use them for my daughter's hair mixed hair type 3 and it leaves her hair soft and manageable.  Her hair doesn't look dry at all,1
"Great product, my favorite color. Subtle and perfect for every day",1
I like this brush a lot. All denman brushes are gonna be harsh. This one is perfect,1
Do not buy. Bought as a gift. Cheap/Crappy and my girlfriend hated them.,0
This a capable product at a fair price.  Easy to use and well made.  Have been using it about a week.  I see some nice early results.  Simple to use.,1
"I absolutely love this necklace. It is beautiful, well made, and the length of the necklace is perfect. I also like the little surprise gift that Doinshop included, a pair of turquoise dangling earrings, that match this necklace beautifully! Completely satisfied and happy =). - Mrs. Flores",1
Works perfect.,1
"that thing is made so cheaply, i used it once on a friend and it barely did anything",0
Gave these to my granddaughter its they are very pretty made good but can't use in thin hair,1
"Very soft. But, if you have thick long hair and put it up- cap doesn't like to stay on. Plus there is only one button on these- so it won't hold a mask.",0
"What a waste of money. When I first used it the piece in the middle thing was burnt down a little bit from my dryer being hot. So if you have a hot blow dryer DO NOT get it. Second day I used it , the piece in the middle was melted more. Needless to say I threw this out because it became to melted inside to use and was not staying on the dryer. It did make my hair culry though but I have naturally curly hair.",0
"Bought these a few months ago and it left a rash on my baby, took about a month for it to be gone. Honestly just horrible.",0
Arrived broken in the mail,0
"It was horrible .! If you put heat on it, it will burn and the closure doesn’t go all the way around and when you lift the wig up you can see the white tracks and also my tracks were slipping out",0
"Definitely a better use of time! I can change and refresh my polish in no time. And with a wiggly toddler, time is of the essence. Now, just like the product description says, u cant let this stuff come in contact with your skin. IT BURNS SO BAD but can be easily washed or wiped off. It's really thick and smells like paint thinner if I had to compare it to something. if I dont buff the top coat off, I have to do 2 applications. the first one took the top coat off and the second got underneath and took care of the rest. I like to cure about 3 coats on my nails not including the base and top coats so it took about 5-8minutes to ""crack"". very please with the results.",1
"I bought this based on the reviews, which must be fake.  This totally looks like a cheap wig.  And even worse, the cap shows through the hair.  Even though there’s a lot of hair.  Too much actually.  It was just awful.  Sometimes you do get what you pay for!",0
I love this oil so far! It smells great and my skin feels wonderful! The product was well packaged and arrived faster than I expected.,1
Nice brush.  Arrived promptly.,1
"My daughter requested this for her birthday, she loves it!",1
"I bought this after I ran out of Mary Kay Bronze 5. I like how easy it is to apply and the bottle that it comes, and it does not leave a lot of residue. It is a good match for my skin tone as well. I apply it once in the morning and I do not need to touch up throughout the day.",1
Me encanto,1
Excelente,1
These lip crayons are smooth and long-lasting. The colors in this selection all work well for me. You can’t beat the price for the number of colors.,1
This is my favorite scent. I get comments constantly even though it is not always easy for me to smell it. It is also fun to layer it with other essential oils. It is not overpowering and blends with your natural musk.,1
No I did not like this product. It not they way they explain,0
Is very confort,1
No directions on how to use this I am not a professional. It did NOT say for professional use. Don't know how to use it.,0
"I'm indifferent about this toothbrush, I've used several cheaper electronic toothbrushes and my teeth usually feel so much cleaner after, but with this brush my teeth feel the same after I brush them. I cannot brush my tongue with this toothbrush, so I'm using my manual toothbrush to  do that. Hence I have two toothbrushes 🤦🏾‍♀️",0
Way to big and heavy,0
product looks like salon nails when  finished without salon price. will most certainly by again,1
"I’m not familiar with doing extensions, so I was probably doing it the wrong way when I did it but it makes it easy to attach even without reading instructions. I’ve been using it for almost a week and my only problem is that it gets tangled easily. It does look like real hair tho so that’s a plus.",1
"Had to return it, many issues.<br /><br />- The item looked used, it seemed to have small bits of hair still on it. It is possible it wasnt hair - maybe some other dirt - but it definitely didn't look 'new'.<br /><br />- The attachment blades were not easy to fix on on this piece. It didn't help that the manual was written in English translated from a foreign language (most likely Mandarin), so it wasn't easy to figure out what it meant.<br /><br />- The item came without the attachment blades mentioned in the manual, so I wasn't sure if I was using the right blade mentioned in the manual.",0
This is a must have for all babies with hair no matter the age! My mother purchased the shampoo and conditioner set for my 7 month daughter who has very little hair on her head and I absolutely love the texture it gives her hair as well as the smell! I am going to stick to this shampoo and conditioner forever!<br />I loved the smell so much I ordered the body wash and lotion too!<br />You won’t regret it!,1
Great for putting on lashes. Sticks well.,1
"At first my husband said he liked it. As I was trying to comb it out, it was shedding extreme. It isn't very thick, so shedding like this, it won't last a week. The tag snagged on my come, I put it back on, but I sure hope I can get refunded. It was on my head for 20 minutes, total.",0
Was really looking forward to this face washer but ever single brush head I tried fell off. Disappointed.,0
They dont hold in the hair at all,0
You have to use too much of it to make it work.,0
They arrived in great shape. My only issue is with the lid. They are hard to get on and off!,0
"I used it only from mid to ends just to add shine and worked great left my hair so soft, shiny. I would definitely recommend this.  Smells great not as the regular dyes, you don't smell chemicals.",1
"[[VIDEOID:cc3b04b45c02ad8114a8b17c34836297]] Baby this hair here I was so skeptical about getting & installing. I was going to Miami so I’m like my hair gotta be right. Well as you can see OMG it worked allll the way out. My cousin is a stylist so she was amazed at the quality. Super soft, full, thick, no tangling, took well to heat & flexi rods. Didn’t have much shed but it did a little. It got wet & was still fine baby. Definitely would order again!",1
The bottles arrived unwrapped and unprotected. I received duplicates of 2 of the colors. One of the bottles is marked that it should only be sold at Duane Reade.,0
The glue isn’t great,0
Super thin hair and made poorly I guess that’s what I get for being cheap,0
"I loved the concept of this product. It looked like it was exactly what I was looking for. The first time I brushed my hair and my daughter's hair it lived up the expectation of smooth and frizz free hair. The second time it came apart into two pieces. I would completely understand if there were tangles in the hair, but the hair was already pre-brushed and just came apart. It will no longer stay together. Sadly I can only give one star as it only lasted a couple uses.",0
Love... love... love,1
"Two pack: Bardot and Doll.  Very pigmented & super duper creamy! Way too much transfer, especially on my teeth because of how creamy they are.  Not even close to long lasting.  The Bardot is a rich light plum shade and the Doll is your basic pink.  I'll just stick with my drug store Revlon Ultimate Suede.",0
Happy with my purchase.,1
"This is a peel off base, but it works too well. My nails immediately fall off!! I've experimented with putting a small dab in the middle and using very little but nothing helps. Literally I open a door and all the nail polish pops off.",0
"These are really cute, but break easily. I no longer have any from this set as they all snapped. I paid so little for them that I’m really not complaining. I got my wear out of each one.",0
Okay actually they’re really cute,0
Only one or two pairs of matching sizes in whole pack. Keeping hands far apart so people may not notice but several already have mentioning pinky nails aren't even close and thumb nails one is bigger than other and these were the closest I could find to each,0
Exceeded expectations! Beautiful.,1
"I ordered this after reading the reviews that said it didn't have a funky smell after using it for a while. I have tried a LOT of different back scrubbers in hopes of finally finding one that doesn't smell bad after a few weeks of use. I was disappointed onece again. It began to smell in the shower after about a month. I have washed this at least three or four times and the smell remains. When I take it out of the washer, I still smell it. Input it in the dryer a few times. The smell is still there. I am switching over to silicon to see if I have better luck with that style.",0
A waist of money,0
"I bought this beard comb specifically because this is the first time I've tried growing a full beard.  For the past several months, this comb has not left my pocket.  This is a must have for anyone that is trying to grow a thick beard.",1
Best product,1
"Hard to apply. Not meant to color your own eyebrow hairs, obviously. Goes on like an eyebrow pencil and no defining of hair like structures.",0
"I bought the Baby Brown color, which is a medium brown. Not faint, not dark brown almost black, just somewhere in the middle.<br /><br />On the first use, I was able to apply the eyeliner easily. The second time, I was having a hard time applying it because the tip was dry. Shaking it & pointing the tip downwards didn’t help. I had to press the tip on my hand to get it to work.<br /><br />Also, it was difficult to apply another layer. The tip was dry so it would actually scratch off parts of the eyeliner, causing patches.<br /><br />The eyeliner cannot be rubbed off easily which is really nice.  However, scratching it with a nail does scratch off easily, so as long as you don’t do that or scrape it with the brush itself, it will stay put pretty well.<br /><br />Update: Since I didn’t want to give up on it completely & waste money spent on this one already, I found a way to make it work. If the tip of the brush becomes dry, I lightly twirl the tip of the brush on the top of my hand until the liquid appears. Then I apply on my eyelid until it gets dry again. This process has to be repeated unfortunately, but I really do like the minimalist look the eyeliner can create and how it stays on even after work out & being outside in the day during the summer.",0
If you don't own this your lost let me help you click but now!,1
Didn’t work at all,0
This is very convenient to use to make wigs. I love it!,1
"I thought they would be a lot wider. Also, the back is scrunched elastic so it isn’t the same width all the way around. Plus, most are a polyester like material.",0
I like how the kit comes with almost everything you need! The price is very good for the product it makes my nails look amazing! I never need to go to the nail salon anymore! It came to my home!,1
Case does not hold the Revlon One Step Root Booster Round Brush Dryer and Hair Styler. That’s why I bought it.,0
"I purchased one, first few times I used it, it was fine. So because it was on sale I bought 2 mire. Since then the first purchase has become clumpy, thick and just terrible. I have tried cleaning the brush, but the mascara is very poor quality",0
Purchased for my daughter and she loves the brushes.,1
Simple to use but didn’t last very long. Only about two hours and then they faded  to nothing,0
It sucks,0
"It was good, but it was to small. Try to buy a bigger container or look out for a bigger one.",0
Not happy with hair,0
"Very goopy and gummy,  not a pleasant consistency, also burned my eyes when applied to my lashes",0
The BEST eyeliner.,1
Facial wipes when traveling.,0
"First, out of the package it smells like petrol.  Yuck and not something I want direct on my hair or to sleep in.<br /><br />I have naturally straight hair that takes volcano heat to curl and stay curled.  Every time I curl my hair the damage is instant and extreme so I only do it a few times a year.  The grass is always greener, so to speak, and LOVE my hair wavy without the damage so I was hoping this worked as well as Tic Tok said these things should.<br /><br />It's super funky to get in your hair.  I don't have a ton of thick wavy hair for the claw clip to grip onto so it kept slipping out.  I did the best I could and got this in my slightgly damp hair and went to bed.  It was fairly comfortable to sleep in, but easily worked its way out of the top of my head, so when I awoke the following AM I had a tight spiral of hair at the last 2' of each end and straight until that point.<br /><br />On me, the only bit that took any type of curl or dent was where I put the rubber bands to hold my hair onto this thing.  My hair took zero curl.<br /><br />Maybe this works for folks that already have hair that curls but didn't give this long straight hair any bounce at all.",0
"I'm disappointed,  bought 2, one didn't work and was replaced by another that doesn't work.  Not worth the money!",0
i highly recommend these. i use them for everything.,1
Does not curl hair well,0
Thin and smaller than I expected. Maybe I didn’t read the description well enough but these are not basic thick hair ties.,0
Great travel Organizer,1
This is excellent for 4c hair.,1
Boyfriend uses this everyday and loves it! No complaints,1
I pass! I’ll stick with my L’Oreal<br />1. Doesn’t last<br />2. Doesn’t feel right on my lips 👄,0
I love these charms for any embellishments on nails. I think they’re perfect to have on hand at all times. Worth the money and really a bang for your buck. Even with regular use these will last you forever!,1
Love these butterfly locks. Wll buy again,1
Perfect to keep my hair out of my face while I put my make up on,1
My husband loves this product.,1
"Ordered it just 4 days ago and I'm wearing it now to bed! It's a long tube headband that I can wear to bed like I'm doing now or out and about. What's interesting, it's seamless, which is a plus for esthetics if that matters to you like it does this sun Virgo, moon Leo :)))!",1
It's hard to do a low or mid ponytail. Tried a high one and worked much better but was so heavy.  Also my hair got caught in the velcro a few times and that was a bit painful.  I really wanted to love it.,0
"This set of two roll-on fragrances comes with a PU leather carry case that will hold up to six roll-on fragrances or essential oils. The lemongrass smells as it should and the protector blend smells spicy. Both of the fragrances are strong. The current price of $19.99 ($24.99 minus $5) is competitively priced for this set. Unfortunately, these scents are way too strong for me.",0
Lot of the colors where broken...,0
"I bought this a few months ago when it was on sale and am just now using it as I already had a different one I was using. It's fully charged but it won't come on.  It's past my return date, so I can't return it.  I'd like to give it zero stars since I never got the benefit of a single use.",0
"The positive....it is protecting the screen from scratches.<br /><br />The negative...it reduces screen sensitivity quite a bit. The corners, the sides, and the thumbprint are all not easy to use when this is on.<br /><br />I hope someone can come out with a better one. Coming from a Samsung with a tempered glass screen protector that caused zero problems, this was eye opening.",0
Actualizo mi review para decir que todavía estoy usándolo no he visto un gran cambio en mis puntos negros solo que noto mi cara más suavecito y con mejor textura.,1
"This is beautiful on my nails.  Easy great coverage.  I change my manicure every week and so I cannot attest to the two week life, but it was great for the week.",1
Looked to be a great product however both times my order leaked its contents out with the lids not even being on the 2nd order.,0
Magnetic liner flaked,0
"This is absolutely wonderful hand cream.  My hands often crack from dryness, especially in the winter, and I also have very sensitive skin.  This lotion is fragrance free and smells pretty neutral.  The size is perfect to keep above my sink to apply after hand washing, but I've also stored it in my purse.  I also accidently discovered that it helped relieve some irritation and redness from my hound dogs ears.  Good to know that petting my dog after I put this lotion on won't irritate his sensitive skin!",1
It’s a good idea but the plastic it rigid.  I find it’s easier to use a q tip.,0
"I love the colors and the number of headbands that this comes in. But the headbands just aren’t very good. They do fit an adult head well, but on the inside there is a single row of 4 teeth about every 4”. This doesn’t make for a smooth hair style. I want to love them, but because they won’t handle my hair well, I’ll never use them.  Back they go? Likely.",0
"One of the four scarves was mis-sewn and could not be totally salvaged, though a little scissor work left it usable. I was not displeased with the quality of the scarves, though prospective purchasers should be aware that with all of them I received, the ends are not finished at all, merely cut off at a clumpy angle.",0
"I tolerated these poor performing devices because of the good price, but when I had part of the nozzle come loose and lodge in my nose, that was enough.  It took a lot to blow it back out, was almost stuck in my nasal cavity.  No nasal mister is worth that risk.<br /><br />On top of that, these leak if they are not upright.  Carry them in a bag or a pocket?  They leak.  They also don't last long enough to dispense the fluid in them - the nozzle literally wears out and becomes non-misting pump that barely works.  Spend the extra 30 cents and get something that works.",0
I LOVE THIS  FOR THOSE LAZY DAYS  BETTER QUALITY THAN I THOUGHT FOR THE AFFORDABLE  PRICE,1
Great for travel,1
Did not work at all. Directions were very clear but product didn’t work at all. Waste of money.,0
Purchased for box and the box isn’t the greatest the blade handle is very heavy and my butter knives might be just as sharp,0
The caps do not fit the bottle and do not completely screw in.,0
"As my title says, I want to love this but it needs improvement. First of all, my brush came damaged out of the box, I was able to luckily bend the bristles back. This brush brushes great, it gets out deep mats, and does a great job on my Pomeranians thick hair. However, it is big, bulky, and very uncomfortable to hold. I found myself often holding it from the head rather than the handle because the handle hurt my hand. The handle needs a redesign, and I may even see if I can just remove it. The bristle are very long and are the kind that can stab your fingers, I used a comb to clean them out.",0
"Love this conditioner. But, the pump was broken when arrived. Other than that it’s amazing and worth the $",0
They don’t stay on me. I have really fine hair.,0
Loved the hair,1
"I was hoping for a professional hair removal product. I tested it on a spot on my chest as the directions said. No reaction to it but also no hair removal either. Next i used it  on the rest of my chest, back, and groin. I experienced a mild burn and extremely minimial hair removal.  I have had ten times the sucess with products bought off the shelf in a drugstore than this.  I still cant figure out how it is strong enough to burn the skin but not remove hair. Very disappointed in this product. Stay away and save your money.",0
"I've been using the Credo Safety Blades for 8 years and they do a great job at removing calluses on my big toes and heels.  After scraping the areas, I use my electric buffer to make the areas really smooth.  I give this product 4 stars instead of 5 because I have nicked my toes a couple of times by scraping too close to my skin, so you still have to be cautious when using it by being aware of how close you are getting the skin.",1
Evens out nail imperfections. I used this along with the China Glaze polish and topcoat and it gave me the longest lasting manicure I ever gave myself!,1
"I was a little disappointed when the tin arrived because it was so small.<br />However, it takes very little to work— just touch it with your fingers and use under your arm.<br />This is the best thing I have tried;  no need to repeat during the day; lasts even overnight.  It has a very pleasant eucalyptus scent.",1
This been a fantastic product. An excellent add to the bedroom. A Fantastic night of sleep is priceless,1
"Product came damaged, the base coat was all over in the package along with broke nail forms. Disappointed.",0
The bundles are thick but uneven. I ordered the same length and its two different colors and 3 different lengths. I have not it worn it but i did wash it and it has that perm smell. So its sitting in conditioner and ill you know then. The hair itself is pretty,0
Wasn’t the one I had originally ordered it was the wrong everything from the color to the functions. Do not like it at all.,0
No Justice!,0
While taking them out of the container (which was cracked) the magnet stayed connected to the box and the lash came off. So I never got to try them.,0
It looks  like I was sent a used brush based on the plastic wrap already being ripped open. Gross. I won’t be using it!,0
I can’t get past the first speed because I feel like it’s choking me. I originally bought it to use on the kids but there is no way I can use it for them.,0
"The color wasn't represented well, it appears more glittery than iridescent. It's still pretty, but the biggest issue was that the bottle was  only half full. I don't mind a smaller bottle for a low price but it's not very professional to use a regular bottle and sell it only half full. It makes me wonder if the product was a used bottle that was returned abs resold.",0
"I bought this for my wife because it was what she asked for: a back scratcher. The addition of the brush added to the value of the gift. After a few months of use, the plastic base of the bristles on the back scrubber cracked and a large patch of bristles fell out, rendering the brush useless. The crack is spreading and releasing more bristles.<br /><br />The back scratcher had a very sharp edge no the working end, and I had to smooth this out with some sandpaper.<br /><br />About the only thing I can recommend about this product is it uses mostly renewable resources, i.e., bamboo. For the price, meh... I'll probably try to find something comparable from another seller.",0
"I ordered this and was pleasantly surprised until I started combing through the wig.  I was unable to style it or  put the bangs back because the bangs were thinned very bad and it looks like the hair was melted. All through the front it had choppy hair and The wig laid very flat on my head, and the inner hairs were shinier. I had to return",0
"These are the best for the price. Strong, big, absorbent, non-fragrance, best bag for your buck!!<br />I ‘be tried a lot of baby wipes, these are the best, consistently!!!",1
Seems cheap. Will not buy again.,0
I got them and went through them. My box was missing sizes 9 and 10. I just did them today and they’ve already started to pop off. One broke when trying to trim them down. I’m really disappointed,0
I have used this product for many years. It extends the life of the cutting blades and gives a closer shave.,1
Contouring my face has become a daily chore for me. I really like the look of a chiseled face.<br />I've been using a smaller brush but I feel it leaves lines I can't properly blend out. I then tried this and it redefined makeup for me!<br />The size and texture is perfect for contouring the face. I use it to darken under my cheek bones and my jaw line.<br />The only reason I give four out of five stars is because the hairs seem to fall out very easily. I'm not sure if it was only my brush or what but I prefer one that doesn't leave hairs in my makeup.<br />I received this product at a discounted rate in exchange for my honest and unbiased review. My opinions & thoughts are 100% my own.,1
Moldi the teeth whitening was leaking,0
"stuff doesn't stay in place, when you unzip it be ready to catch stuff",0
comfortable,1
"Horrible tapes, I have done my own extensions for around 12 years.  Over 1/2 came out within 24 hours of putting them in.  Within 10 days 3/4 had fallen out.",0
"Nice length, I recommend using the clips/ Bobby pins that were provided for security. It’s synthetic hair so you can’t expect a long life with it but it was cute and gave some nice volume and length.",1
"No enough curls. Good straight hair. I just couldn’t n never experienced someone to text me about a review. Then goes to tell me to give them 5 stars wow. Then text me at 1:27am n say sorry to bother. No your not sorry because you know you was bothering me, cuz I would have been bothering you if I would text you at 1:27am. I haven’t use the hair yet. Hears your review",0
I love this fragrant olive oil cream.  It goes on very well and is not greasy.  Too bad it was discontinued by Bath & Body Works and it is now way too expensive for me.,1
excellent product!,1
The trimmer worked greatuntil my husband lost the blade. I'm hoping the warranty it comes with helps me replace this?? Otherwise....my husband loves this trimmer it is by far the best one he's used and he has used 6 in the last 3 years.,0
"So smooth. This is like a buffer/polisher for the skin. Some reviewers say it’s too smooth, but I’m convinced exfoliating with nut-shell products and even a wash cloth can damage my skin. I want baby soft skin and this delivers. My 6 year old uses it too. It removes the blackheads on my nose! Buffs my pores to silky smooth. No make up needed for a perfect complexion with this sponge.",1
It broke after 3 months of use .,0
"I was pleasantly surprised at how well this works when I received a trial size of the bronzer.  I have trouble with the scent that lingers all day after using most self-tanners, even the pricey ones, but this leaves a wonderful scent, in fact I have had many people tell me that they like the scent when I am wearing it.  After just one application I notice a nice ""natural-looking"" tan which seems to last longer than other products that I have tried.  I have also had friends tell me how ""natural"" it looks after they find out that it's a self-tanner. It's a bit pricey, but worth every penny as far as I am concerned!  hopefully they don't stop making it.",1
Super cute and worked perfectly for our drive by baby shower 💕,1
My husband loves Duke Cannon and wanted to complete his line with the body wash. The name suggests the soap is very thick and it is. He feels that it washes really well and the scent isn’t over powering. Great product!,1
This is synthetic hair mixed with real hair. When you curl it you can smell the fake hair. I don't know how amazon can back this product when it is all lies. I thought when ordering an item from Amazon it is true to the discriptiin. I'm so dissatisfied.,0
Very nice scent and leaves your skin soft.,1
was a gift,1
"[[VIDEOID:db11a63b6f07b681f1b78af2e0605f39]] Poor quality, had a difficult time with it, would tangled up and didn’t last wear only twice",0
"Easy to use, hair looks great",1
"I have short hair and it looked like  something I  could use  to help lift and get curl but didn't  do anything, am not  happy  with it",0
Really liked the way this goes on. And it’s clear so it doesn’t interfere with the color of your tattoo.,1
